Nome,Razão Social,Codigo,Setor,Segmento
AF INVEST CRI FDO. INV. IMOB - RECEBÍVEIS IMOB.,FII AFHI CRI,AFHI,Fundo de Papel,Papéis
AJ MALLS FDO DE INV IMOB,FII AJ MALLS,AJFI,Fundo de Tijolo,Shoppings
ALIANZA CRÉDITO  IMOBILIÁRIO FUNDO DE INVESTIMENTO,FII ALIANZAC,ALZC,Fundo de Papel,Papéis
ALIANZA MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOB,FII ALIANZME,ALZM,Fundo de Papel,Fundo de Fundos
ALIANZA MULTIOFFICES  - FDO. INV. IMOB,FII MULT OF1,MTOF,Fundo de Tijolo,Lajes Corporativas
ALIANZA TÍTULOS IMOB. FDO INV. IMOB.,FII INTER,BICR,Fundo de Papel,Papéis
ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB,FII ALIANZA,ALZR,Fundo Misto,Misto
ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOB,FII ALI URB,AURB,Fundo de Tijolo,Imóveis Comerciais - Outros
APEX REALTY FDO DE INV IMOB  RESP LTDA,FII APXR,APXR,Fundo de Tijolo,Imóveis Residenciais
APEX URB FDO DE INV IMOB  RESP LTDA,FII APXU,APXU,Fundo de Tijolo,Imóveis Residenciais
AROEIRA 333 RENDA LOGÍSTICA FDO DE INV IMOB,FII AROA,AROA,Fundo de Tijolo,Imóveis Industriais e Logísticos
 ARX DOVER RECEBÍVEIS FDO DE INV IMOB,FII ARXD R,ARXD,Fundo de Papel,Papéis
AUTONOMY EDIFÍCIOS CORPORATIVOS FUND. INV. IMOB.,FII AUTONOMY,AIEC,Fundo de Tijolo,Lajes Corporativas
AZ QUEST PANORAMA CRÉDITO ESTRUTURADO FII RESP LTD,FII AZPE,AZPE,Fundo de Papel,Papéis
BANESTES RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB  FII,FII BEES CRI,BCRI,Fundo de Papel,Papéis
BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII,FII BANRISUL,BNFS,Fundo de Tijolo,Agências de Bancos
BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII,FII BANRISUL,BNFS,Fundo de Tijolo,Agências de Bancos
BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII,FII BANRISUL,BNFS,Fundo de Tijolo,Agências de Bancos
BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII,FII BANRISUL,BNFS,Fundo de Tijolo,Agências de Bancos
BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII,FII BANRISUL,BNFS,Fundo de Tijolo,Agências de Bancos
BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII,FII BANRISUL,BNFS,Fundo de Tijolo,Agências de Bancos
BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII,FII BANRISUL,BNFS,Fundo de Tijolo,Agências de Bancos
BARRA MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII BR MALLS,BTML,Fundo de Tijolo,Lajes Corporativas
BARZEL CD1 FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII BARZEL,BZEL,Fundo Misto,Misto
BASÍLICA PARTNERS LED CORPORATE FDO INV IMOB FII,FII BASILICA,BPLC,Fundo Misto,Misto
BB FDO INV IMOB PROGRESSIVO,FII BB PROGR,BBFI,Fundo de Tijolo,Lajes Corporativas
BB FUNDO DE FUNDOS - FDO. INV. IMOB.,FII BB FOF,BBFO,Fundo de Papel,Fundo de Fundos
BB RENDA CORPORATIVA FDO INV IMOB - FII,FII BB CORP,BBRC,Fundo de Tijolo,Agências de Bancos
BB RENDA CORPORATIVA FDO INV IMOB - FII,FII BB CORP,BBRC,Fundo de Tijolo,Agências de Bancos
BB RENDA CORPORATIVA FDO INV IMOB - FII,FII BB CORP,BBRC,Fundo de Tijolo,Agências de Bancos
BB RENDA CORPORATIVA FDO INV IMOB - FII,FII BB CORP,BBRC,Fundo de Tijolo,Agências de Bancos
BB RENDA CORPORATIVA FDO INV IMOB - FII,FII BB CORP,BBRC,Fundo de Tijolo,Agências de Bancos
BB RENDA CORPORATIVA FDO INV IMOB - FII,FII BB CORP,BBRC,Fundo de Tijolo,Agências de Bancos
BB RENDA CORPORATIVA FDO INV IMOB - FII,FII BB CORP,BBRC,Fundo de Tijolo,Agências de Bancos
BB RENDA DE PAPÉIS IMOBILIÁRIOS FDO INV IMOB - FII,FII BB R PAP,RNDP,Fundo de Papel,Papéis
BLUECAP LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII BLOG,BLOG,Fundo Misto,Misto
BLUEMACAW LOGÍSTICA FDO. INVEST. IMOB.,FII BLUE LOG,BLMG,Fundo de Tijolo,Imóveis Industriais e Logísticos
BR7 SENADO FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII BR7 SENA,BRSE,Fundo Misto,Indefinido
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA - FII,FII BCIA,BCIA,Fundo de Papel,Fundo de Fundos
BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII,FII DEA CARE,CARE,Fundo Misto,Misto
BRC - II FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII RTEL,RTEL,Fundo Misto,Misto
BRC RENDA CORPORATIVA FII,FII ATHENA I,FATN,Fundo de Tijolo,Lajes Corporativas
